4821,Charla IBC,500,Patio IBC,2025-02-02,Rafael Mellado,Arrays en C,Introducción a los arrays en C,10,200
913,Conferencia IA,300,Aula Magna,2025-03-15,Ana Torres,Inteligencia Artificial,Aplicaciones modernas de la IA en la vida diaria,20,150
7642,Taller Java,100,Laboratorio 3,2025-04-10,José Pérez,Programación en Java,Curso intensivo de Java para principiantes,5,100
2598,Expo Videojuegos,1000,Centro de Convenciones,2025-05-20,María López,Diseño de Juegos,La industria del gaming y su futuro,50,500
847,Seminario Ciberseguridad,200,Auditorio Norte,2025-06-05,Carlos Díaz,Hacking Ético,Protección contra ataques cibernéticos,15,250
6721,Charla Física Cuántica,150,Auditorio Sur,2025-07-18,Laura Fernández,Física Moderna,Principios básicos de la mecánica cuántica,10,180
190,Taller Robótica,80,Laboratorio de Ingeniería,2025-08-12,Diego Martínez,Robótica Educativa,Construcción de robots simples con Arduino,8,120
5233,Foro Energías Renovables,400,Salón Verde,2025-09-22,Claudia Herrera,Energía Solar,Avances en energías limpias y sostenibles,25,300
7810,Festival Música Digital,600,Plaza Central,2025-10-30,Sergio Morales,Producción Musical,Creación de música electrónica en vivo,30,220
3499,Conferencia Medicina,350,Hospital Universitario,2025-11-25,Dra. Sofía Ramírez,Medicina del Futuro,Avances tecnológicos en tratamientos médicos,18,400
